t		Euler's Method		Exact Solution		Error		Error Bound
0.0000		0.500000		0.500000		0.000000		0.000000
0.2000		0.800000		0.829299		0.029299		0.090806
0.4000		1.152000		1.214088		0.062088		0.266167
0.6000		1.550400		1.648941		0.098541		0.570725
0.8000		1.988480		2.127230		0.138750		1.066900
1.0000		2.458176		2.640859		0.182683		1.841703
1.2000		2.949811		3.179942		0.230130		3.016179
1.4000		3.451773		3.732400		0.280627		4.758535
1.6000		3.950128		4.283484		0.333356		7.302450
1.8000		4.428154		4.815176		0.387023		10.972706
2.0000		4.865785		5.305472		0.439687		16.221210
